id,name
1,Aardvark
2,Abyssinian
3,Adelie Penguin
4,Affenpinscher
5,Afghan Hound
6,African Bush Elephant
7,African Civet
8,African Clawed Frog
9,African Forest Elephant
10,African Palm Civet
11,African Penguin
12,African Tree Toad
13,African Wild Dog
14,Ainu Dog
15,Airedale Terrier
16,Akbash
17,Akita
18,Alaskan Malamute
19,Albatross
20,Aldabra Giant Tortoise
21,Alligator
22,Alpaca
23,Alpine Dachsbracke
24,Amazon River Dolphin (Pink Dolphin)
25,American Alsatian
26,American Bulldog
27,American Cocker Spaniel
28,American Coonhound
29,American Eskimo Dog
30,American Foxhound
31,American Pit Bull Terrier
32,American Staffordshire Terrier
33,American Water Spaniel
34,Amur Leopard
35,Anatolian Shepherd Dog
36,Anchovies
37,Angelfish
38,Ant
39,Anteater
40,Antelope
41,Appenzeller Dog
42,Arapaima
43,Arctic Fox
44,Arctic Hare
45,Arctic Wolf
46,Armadillo
47,Asian Elephant
48,Asian Giant Hornet
49,Asian Palm Civet
50,Asiatic Black Bear
51,Aurochs
52,Australian Cattle Dog
53,Australian Kelpie Dog
54,Australian Mist
55,Australian Shepherd
56,Australian Terrier
57,Avocet
58,Axolotl
59,Aye Aye
60,Baboon
61,Bactrian Camel
62,Badger
63,Baiji
64,Balinese
65,Banded Palm Civet
66,Bandicoot
67,Barb
68,Barn Owl
69,Barnacle
70,Barracuda
71,Barramundi Fish
72,Basenji Dog
73,Basking Shark
74,Basset Fauve de Bretagne
75,Basset Hound
76,Bat
77,Bavarian Mountain Hound
78,Beagle
79,Bear
80,Bearded Collie
81,Bearded Dragon
82,Beaver
83,Bedlington Terrier
84,Beetle
85,Beluga Sturgeon
86,Bengal Tiger
87,Bernese Mountain Dog
88,Bichir
89,Bichon Frise
90,Biewer Terrier
91,Binturong
92,Bird
93,Birds Of Paradise
94,Birman
95,Bison
96,Black Marlin
97,Black Rhinoceros
98,Black Russian Terrier
99,Black Widow Spider
100,Blobfish
101,Bloodhound
102,Blue Jay
